mysql> select story_url,completed from dwg_stories ORDER by 1;
+----------------------------------------------------+-----------+
| story_url                                          | completed |
| /derby/hallow2007/shem07.htm                       |         1 |
| /derby/hallow2007/sofie07.htm                      |         1 |
| /derby/hallow2007/ulrik07.htm                      |         1 |
| /derby/hallow2008/jesshall08.htm                   |         1 |
| /derby/hallow2008/jimmhall08.htm                   |         1 |
| /derby/hallow2008/kathhall08.htm                   |         1 |
| /derby/hallow2008/katthall08.htm                   |         1 |
| /derby/hallow2008/lisehall08.htm                   |         1 |
| /derby/hallow2008/lorihall08.htm                   |         1 |
| /derby/hallow2008/lydihall08.htm                   |         1 |
| /derby/hallow2008/marihall08.htm                   |         1 |
| /derby/hallow2008/marihall08b.htm                  |         1 |
| /derby/hallow2008/megehall08.htm                   |         1 |
| /derby/hallow2008/shemhall08.htm                   |         1 |
| /derby/hallow2008/sofihall08.htm                   |         1 |
| /derby/hallow2008/ulcihall08.htm                   |         1 |
| /derby/hallow2009/cindyhall09.htm                  |         1 |
| /derby/hallow2009/jimmyhall09.htm                  |         1 |
| /derby/hallow2009/juliechall09.htm                 |         1 |
| /derby/hallow2009/kathhall09.htm                   |         1 |
| /derby/hallow2009/kayhall09.htm                    |         1 |
| /derby/hallow2009/kayhall09b.htm                   |         1 |
| /derby/hallow2009/lisehall09.htm                   |         1 |
| /derby/hallow2009/lydiahall09.htm                  |         1 |
| /derby/hallow2009/marihall09.htm                   |         1 |
| /derby/hallow2009/marihall09b.htm                  |         1 |
| /derby/hallow2009/marihall09c.htm                  |         1 |
| /derby/hallow2009/marihall09d.htm                  |         1 |
| /derby/hallow2009/maryshall09.htm                  |         1 |
| /derby/hallow2009/shemhall09.htm                   |         1 |
| /derby/hallow2009/sybilhall09.htm                  |         1 |
| /derby/hallow2009/teghall09.htm                    |         1 |
| /derby/hallow2010/angelhall10.htm                  |         1 |
| /derby/hallow2010/jimhall10.htm                    |         1 |
| /derby/hallow2010/kathhall10.htm                   |         1 |
